rms_norm,crest_factor,kurtosis,temperature_delta,label
2.2056,4.6300,4.5430,14.21,Degraded
1.0552,2.8308,3.1548,1.40,Healthy
0.8819,2.9958,2.5342,1.86,Healthy
5.4464,7.9688,9.6943,17.91,Danger
2.7895,4.5624,6.0557,6.23,Degraded
1.0969,3.5770,3.7680,0.00,Healthy
2.0451,4.6388,3.5000,7.81,Degraded
0.9654,2.9319,2.1315,0.00,Healthy
4.0546,9.2725,7.9049,22.16,Danger
2.4246,4.9352,3.9969,7.90,Degraded
0.9922,2.1985,3.1488,3.10,Healthy
3.8438,6.5541,17.0156,33.14,Danger
1.1261,2.8961,2.6279,5.86,Healthy
1.0655,2.8080,3.0658,0.96,Healthy
3.1501,7.1199,13.4645,17.04,Danger
0.9404,2.9354,2.6231,3.56,Healthy
1.2271,3.0748,3.0861,1.65,Healthy
5.2539,5.0000,19.5997,31.47,Danger
0.8873,2.6980,2.5895,5.21,Healthy
1.0543,3.0730,2.4555,1.43,Healthy
3.7067,8.4370,17.5978,26.28,Danger
2.9175,3.8673,6.0747,13.69,Degraded
0.8612,3.3533,3.5864,2.49,Healthy
1.1327,2.7378,2.8239,1.55,Healthy
3.6921,7.8762,16.0748,29.15,Danger
0.9646,2.9606,3.0921,0.46,Healthy
5.5546,7.5875,14.4047,35.14,Danger
1.1356,2.9036,2.5043,0.98,Healthy
0.8093,3.1091,2.8198,2.87,Healthy
0.9481,3.0318,2.4370,2.41,Healthy
0.9624,3.0105,3.0087,2.98,Healthy
0.8993,3.2597,3.1556,1.37,Healthy
2.4700,3.6356,5.7270,14.29,Degraded
0.9949,2.6326,2.8768,0.88,Healthy
1.0493,3.0233,2.4509,0.33,Healthy
1.2371,2.5931,3.1667,1.38,Healthy
0.8364,2.9519,2.8924,0.38,Healthy
3.7739,8.5146,10.4199,38.58,Danger
1.0478,3.0430,2.4027,1.82,Healthy
0.7081,2.7621,2.9552,3.27,Healthy
0.9475,3.0901,2.5871,3.46,Healthy
5.5089,6.8209,10.9569,40.62,Danger
1.5113,4.5301,6.3998,9.13,Degraded
0.9592,3.2381,2.4764,3.14,Healthy
0.8873,3.3539,3.0899,3.31,Healthy
1.0640,3.2040,2.4032,1.77,Healthy
0.9584,3.2114,3.1862,0.30,Healthy
1.0178,3.3155,2.6188,0.55,Healthy
2.4304,5.1620,3.5000,8.21,Degraded
0.9376,3.1409,2.9050,0.00,Healthy
3.0000,8.4178,8.1806,15.00,Danger
0.9827,3.2632,3.4928,2.36,Healthy
3.4366,3.8768,3.8912,7.60,Degraded
0.8679,3.5481,3.2271,0.20,Healthy
2.1212,4.6579,5.6455,13.96,Degraded
0.8856,2.9327,3.1361,0.85,Healthy
3.0451,4.3944,5.5749,13.61,Degraded
1.9116,5.5796,6.0731,6.91,Degraded
0.9672,3.1649,3.4722,2.10,Healthy
5.1488,8.0294,13.0816,22.61,Danger
1.0446,3.3354,2.6135,2.49,Healthy
1.1206,3.0017,2.8979,2.09,Healthy
1.0102,3.0442,3.5542,0.54,Healthy
1.1013,3.2175,2.5806,1.62,Healthy
0.9464,2.5416,2.6399,2.44,Healthy
0.7939,3.2782,2.8368,2.45,Healthy
0.9086,3.2432,2.9996,2.00,Healthy
0.9559,3.0904,2.7983,1.68,Healthy
6.0602,5.8706,11.9635,29.82,Danger
1.0351,2.8173,2.9121,2.03,Healthy
4.2574,6.8834,14.1807,38.03,Danger
0.7838,3.1261,3.4015,1.58,Healthy
4.5064,6.7210,13.3866,22.06,Danger
0.8251,2.5353,3.1526,2.69,Healthy
2.0549,4.3783,4.5554,10.98,Degraded
5.3160,6.8234,7.0850,26.69,Danger
1.4550,4.1206,5.7412,9.41,Degraded
0.9600,3.3088,3.0273,2.39,Healthy
1.0152,3.0352,3.3682,2.66,Healthy
1.4154,6.0112,5.0853,12.83,Degraded
1.0595,2.7663,2.3785,2.72,Healthy
0.9686,2.8994,2.4923,4.42,Healthy
2.5320,4.5352,5.4859,12.61,Degraded
1.0416,2.8152,3.8470,1.04,Healthy
2.4967,4.7091,4.4899,8.29,Degraded
1.7278,5.3999,4.7105,9.14,Degraded
0.9391,3.1501,2.0000,2.43,Healthy
0.9335,2.8975,2.6482,2.93,Healthy
1.9988,5.0086,5.3135,19.75,Degraded
1.0311,3.1349,2.5221,2.77,Healthy
0.9432,2.7153,3.5743,3.02,Healthy
2.3134,3.7627,5.3487,9.75,Degraded
2.3796,4.6252,4.2452,15.81,Degraded
2.4196,4.9075,5.0954,12.35,Degraded
1.0290,2.7355,3.2315,2.45,Healthy
3.5752,8.2808,7.0000,28.54,Danger
2.8382,4.3034,6.6691,15.65,Degraded
1.0785,3.0386,2.9183,0.00,Healthy
0.8897,2.3948,3.3814,0.00,Healthy
3.0000,7.0236,7.2742,21.43,Danger
1.1589,3.5829,3.1744,1.03,Healthy
2.0024,4.8107,4.6618,18.68,Degraded
1.2036,3.2682,3.5701,3.50,Healthy
1.0683,3.0525,3.0735,1.59,Healthy
1.3787,4.5898,4.2769,16.50,Degraded
1.0337,3.2063,3.2187,0.22,Healthy
3.8132,7.2572,12.0485,34.54,Danger
1.8807,3.5157,3.7874,7.51,Degraded
0.8918,2.7458,2.3123,0.78,Healthy
5.0847,7.2681,11.1716,15.73,Danger
1.0273,3.5151,3.2480,3.80,Healthy
1.6879,4.3837,3.5000,4.00,Degraded
3.0000,7.5711,12.3791,18.40,Danger
1.1607,2.6929,3.0049,4.39,Healthy
2.0053,4.9759,5.6942,16.00,Degraded
0.9785,2.6714,3.6459,2.21,Healthy
1.1072,2.9219,3.0667,2.42,Healthy
1.0422,2.6583,3.0432,2.36,Healthy
0.9049,2.7375,3.0964,4.05,Healthy
1.0030,3.0386,3.7394,2.40,Healthy
1.0414,2.8829,3.1557,0.00,Healthy
3.0000,5.9358,8.8368,22.00,Danger
0.7606,3.4678,3.6130,1.88,Healthy
1.0259,2.9277,3.2449,0.00,Healthy
0.9237,3.1808,3.5205,0.00,Healthy
0.9634,2.4055,3.0277,1.18,Healthy
1.2275,2.7704,3.3590,2.65,Healthy
2.1340,4.7615,7.5369,12.04,Degraded
1.1105,2.9192,2.9851,2.60,Healthy
0.9363,3.1712,3.1122,1.45,Healthy
2.1863,4.6050,5.5803,17.69,Degraded
2.6224,4.4093,4.8225,6.50,Degraded
0.8485,3.2919,2.9757,0.84,Healthy
3.2745,5.4160,3.5816,8.56,Degraded
0.9777,3.3971,2.5291,1.38,Healthy
0.7842,2.8097,2.7250,1.10,Healthy
1.1282,2.9563,2.7352,1.89,Healthy
1.0239,2.6295,3.2536,1.81,Healthy
0.9189,3.1989,3.3617,1.78,Healthy
0.9119,2.9969,3.2947,0.00,Healthy
1.2744,2.9812,2.7235,0.68,Healthy
1.9129,4.1127,7.8068,9.78,Degraded
1.5638,3.8485,3.5174,4.74,Degraded
1.8253,3.5629,6.3217,13.89,Degraded
1.1032,3.2182,3.3706,2.19,Healthy
1.7390,3.8150,5.9867,20.93,Degraded
1.2228,3.4667,3.5423,3.43,Healthy
3.0435,6.5439,15.6675,34.09,Danger
0.9506,2.9261,3.6903,1.10,Healthy
0.7516,3.1254,2.9363,0.75,Healthy
0.8911,3.0932,3.6687,1.29,Healthy
0.9842,2.8741,2.5762,1.44,Healthy
0.8988,3.0414,3.1079,1.46,Healthy
1.2168,2.9180,3.1026,1.79,Healthy
0.7855,3.1574,2.9742,4.32,Healthy
0.9998,3.6894,3.3617,1.46,Healthy
1.1377,3.1439,3.2362,0.00,Healthy
0.9439,2.5007,2.5865,2.90,Healthy
3.0909,3.9818,5.8352,4.00,Degraded
2.4491,4.2266,6.3626,13.48,Degraded
5.9377,6.0568,10.6011,28.03,Danger
0.7795,2.8910,4.0131,4.65,Healthy
1.5192,3.6954,6.5162,8.85,Degraded
4.5376,5.0236,8.8292,44.24,Danger
1.0278,2.5477,3.1079,3.62,Healthy
2.6199,4.7773,6.4269,12.82,Degraded
3.0000,8.6465,9.5825,34.40,Danger
2.3715,4.7450,5.5194,11.45,Degraded
3.5609,8.5113,11.8892,28.09,Danger
1.0098,2.5235,3.0883,2.05,Healthy
0.9817,3.0884,3.0320,3.14,Healthy
0.9439,3.3735,3.2915,1.12,Healthy
2.2047,4.1199,4.9831,14.82,Degraded
1.0931,3.7090,2.9136,1.38,Healthy
0.9657,2.8338,3.4974,2.23,Healthy
1.1569,3.1588,2.7989,0.00,Healthy
1.1575,3.6946,3.2006,2.39,Healthy
3.1624,3.8122,4.4905,8.09,Degraded
4.6340,5.5799,17.9691,27.37,Danger
1.0244,2.8053,3.4581,1.58,Healthy
1.3553,4.4404,6.6002,12.11,Degraded
0.7000,2.5681,3.1715,2.65,Healthy
2.1645,4.6115,6.0279,16.50,Degraded
0.9693,3.1783,3.2411,4.42,Healthy
1.1040,2.5268,3.6476,0.66,Healthy
0.9761,2.7239,3.0121,4.29,Healthy
2.4367,4.1444,6.5714,5.20,Degraded
0.9692,2.9492,3.0934,1.35,Healthy
2.4304,3.5110,5.2012,10.42,Degraded
0.8760,3.1477,3.9214,3.33,Healthy
3.0387,8.4154,10.7442,30.36,Danger
1.0718,2.8654,2.8758,4.66,Healthy
0.9966,3.7528,2.7404,0.00,Healthy
0.8797,3.1595,2.3355,2.85,Healthy
1.1148,3.1439,3.0177,0.00,Healthy
1.2372,2.8493,2.9903,1.10,Healthy
4.7276,9.0621,7.7841,33.17,Danger
2.3638,4.4529,4.8438,10.11,Degraded
1.0274,3.1164,2.6616,0.99,Healthy
1.0408,2.8816,3.4945,3.16,Healthy
1.0739,2.8890,2.0252,1.66,Healthy
1.0005,3.3503,2.5952,2.55,Healthy
0.8529,2.6595,3.3454,3.88,Healthy
2.3736,4.0624,6.6406,16.84,Degraded
1.0475,3.4806,2.8606,1.34,Healthy
1.7123,4.6650,4.1316,10.27,Degraded
0.9923,2.9932,3.6009,0.99,Healthy
0.9742,2.7351,3.1693,1.73,Healthy
0.9144,3.5887,3.5566,2.99,Healthy
1.3000,3.3795,5.6461,8.88,Degraded
0.9778,3.2780,3.1745,2.58,Healthy
0.8807,3.3244,3.1364,0.00,Healthy
1.1021,2.5265,2.9602,3.86,Healthy
3.8052,5.9275,7.0000,21.68,Danger
0.9747,2.7458,3.0098,0.00,Healthy
1.0529,2.8673,2.9749,2.36,Healthy
2.7697,3.6786,6.2840,15.68,Degraded
1.0678,3.5858,2.6240,2.67,Healthy
3.9325,7.5361,11.2724,39.06,Danger
1.0072,2.8106,3.1616,3.39,Healthy
0.8163,2.6032,3.1245,1.70,Healthy
1.1832,3.0250,2.7158,3.90,Healthy
0.9827,2.9129,3.8765,3.25,Healthy
2.4492,4.1873,4.9828,4.50,Degraded
1.1146,3.5100,2.9573,0.88,Healthy
1.1953,3.1578,3.3593,1.00,Healthy
0.9162,2.7804,2.5165,2.70,Healthy
0.8123,3.3444,2.7878,4.83,Healthy
1.3000,3.9862,5.7344,18.80,Degraded
1.0246,3.1692,3.2866,2.11,Healthy
1.0653,3.6508,3.2975,1.09,Healthy
0.9650,2.8281,2.9651,0.00,Healthy
1.1779,2.8777,2.8790,3.15,Healthy
2.9236,3.9964,6.4881,13.40,Degraded
0.9850,3.2177,2.9450,1.84,Healthy
1.0523,2.9351,3.7289,2.84,Healthy
0.9170,2.6796,3.4595,0.98,Healthy
5.9974,7.8479,13.7025,38.50,Danger
0.9915,3.2644,2.8351,2.28,Healthy
4.5987,8.0042,7.0000,29.83,Danger
2.0691,4.2814,4.3352,10.09,Degraded
4.5665,9.2922,13.3276,36.50,Danger
3.5373,8.3017,13.6571,28.41,Danger
1.0106,3.0249,2.8218,1.41,Healthy
0.8842,2.9933,2.7380,2.68,Healthy
3.8692,7.4069,9.4982,31.21,Danger
2.3449,3.6803,4.6840,12.93,Degraded
3.7789,8.2652,12.2895,15.66,Danger
3.7307,9.5461,12.0665,15.00,Danger
3.5448,6.6563,10.1547,32.20,Danger
2.8525,4.4912,4.5307,13.63,Degraded
0.9916,3.3043,3.4161,1.39,Healthy
1.8997,3.7994,6.1518,6.98,Degraded
1.8778,3.8680,3.5000,10.68,Degraded
2.8872,4.2102,4.0993,4.08,Degraded
1.0183,2.9678,3.0616,3.41,Healthy
2.3794,4.2109,6.9654,10.47,Degraded
1.0120,3.0040,3.0391,4.37,Healthy
2.2091,6.0141,5.0601,18.14,Degraded
0.8886,3.0141,4.0351,1.21,Healthy
1.0042,3.4342,3.1070,0.00,Healthy
1.0011,3.2754,2.7885,2.38,Healthy
0.7306,2.7591,3.2782,2.62,Healthy
0.9279,2.6334,3.4039,0.49,Healthy
0.9967,3.2769,2.4491,0.16,Healthy
3.9274,5.9294,17.4324,35.14,Danger
0.9005,2.4608,2.7633,2.25,Healthy
3.9226,7.6478,16.5564,21.86,Danger
0.9933,2.8739,3.7514,1.83,Healthy
2.1941,4.1079,6.5337,13.83,Degraded
0.9883,2.5501,2.7666,4.57,Healthy
1.6181,5.2736,5.6888,12.27,Degraded
3.0000,6.4482,13.0862,37.79,Danger
1.9795,3.7846,5.4782,12.58,Degraded
1.1228,3.0440,3.0459,2.51,Healthy
1.8940,4.1954,7.2382,16.76,Degraded
0.9282,2.5953,3.0147,3.99,Healthy
2.5425,4.5133,4.8893,7.13,Degraded
1.1701,3.4645,3.6270,1.59,Healthy
5.4238,5.8468,12.7020,27.20,Danger
0.9526,3.1184,3.2753,1.01,Healthy
1.2257,2.9877,3.7970,5.72,Healthy
1.7470,3.2897,6.7926,14.70,Degraded
1.0722,3.5529,3.0625,1.66,Healthy
1.0208,3.1648,2.9106,0.00,Healthy
1.0193,3.0329,2.0713,0.63,Healthy
0.9789,3.0879,2.8778,2.42,Healthy
4.6176,5.7202,15.9473,23.00,Danger
1.1018,3.1804,2.5187,3.62,Healthy
0.9776,3.1976,3.2017,3.86,Healthy
1.1297,3.5815,3.2412,0.18,Healthy
5.6704,8.8289,13.1645,32.26,Danger
1.0215,3.3071,3.2085,4.08,Healthy
4.0737,8.4674,10.4326,24.07,Danger
1.2196,2.8885,2.5657,2.88,Healthy
0.9820,2.9747,3.0604,2.26,Healthy
1.8011,4.6542,6.2291,4.00,Degraded
1.9628,4.3833,5.0933,12.18,Degraded
1.8939,3.8222,4.6848,12.71,Degraded
2.3760,4.5914,5.9298,10.31,Degraded
4.2920,6.3925,10.3833,42.91,Danger
0.9971,3.0324,3.1010,0.00,Healthy
2.0143,4.7658,5.7834,4.00,Degraded
0.8353,3.1411,3.0755,1.28,Healthy
0.9694,2.8460,3.4026,4.41,Healthy
2.2551,4.4839,6.7053,9.42,Degraded
4.4099,7.3615,18.6149,26.10,Danger
0.9678,2.6729,3.6342,1.67,Healthy
3.0840,6.3450,8.9972,30.81,Danger
1.0824,3.6028,3.5390,0.00,Healthy
0.8273,2.9956,2.8018,1.77,Healthy
1.1377,3.0312,2.7910,5.55,Healthy
0.8483,2.6517,2.3014,2.55,Healthy
4.6758,7.3323,15.7427,24.39,Danger
2.6062,5.1273,3.9338,10.83,Degraded
0.9181,2.5776,3.0357,2.55,Healthy
0.9937,2.8413,3.7181,0.62,Healthy
2.3644,4.0836,5.9235,13.05,Degraded
1.0194,3.5621,2.0000,1.82,Healthy
1.0190,3.0743,3.0138,2.67,Healthy
1.0394,3.1819,2.1326,0.00,Healthy
0.8609,2.7868,3.2608,3.86,Healthy
2.1280,4.0436,5.3540,12.11,Degraded
0.8284,2.9242,2.9894,1.12,Healthy
1.3000,3.8798,3.8872,9.53,Degraded
1.1711,2.6841,3.1447,2.44,Healthy
0.7198,2.8951,2.9462,0.00,Healthy
3.5541,6.5858,11.5255,35.10,Danger
1.1311,3.1713,2.7605,0.00,Healthy
0.9667,3.0134,3.1359,2.80,Healthy
2.6783,4.7260,6.1608,10.22,Degraded
1.1001,2.9984,3.1789,2.44,Healthy
1.0467,2.8663,3.3256,2.69,Healthy
2.7340,4.9880,5.0361,16.54,Degraded
0.8084,2.9149,3.4648,4.08,Healthy
1.0152,3.7430,3.1628,1.17,Healthy
2.2011,5.0668,7.4262,12.28,Degraded
1.1314,2.5131,3.2026,2.26,Healthy
1.0615,2.8861,3.4701,1.49,Healthy
1.0029,3.1294,3.2709,4.46,Healthy
5.6328,8.0129,19.8084,31.00,Danger
4.6700,6.3054,11.8113,36.51,Danger
2.6307,4.6097,5.3727,9.86,Degraded
1.0027,3.4760,3.0859,1.30,Healthy
0.9500,3.1083,3.7330,0.00,Healthy
0.7550,3.2563,3.0866,4.20,Healthy
3.2412,3.8875,7.3857,4.00,Degraded
2.0439,5.3100,3.7471,19.04,Degraded
1.0368,2.5239,2.2914,0.00,Healthy
0.8292,3.1763,2.9366,2.86,Healthy
5.4760,8.3151,11.7173,29.13,Danger
3.0000,6.2851,12.7537,33.42,Danger
1.0479,2.7258,3.2569,3.12,Healthy
1.0775,2.2623,3.2854,0.63,Healthy
5.4287,6.5431,11.9613,17.21,Danger
1.9031,4.7280,5.9141,4.00,Degraded
1.0238,2.9517,3.2394,2.04,Healthy
0.8444,3.1097,2.3887,0.64,Healthy
1.9142,4.2841,5.9010,14.84,Degraded
1.6433,4.6782,6.6199,16.00,Degraded
0.9723,2.8050,3.7037,0.43,Healthy
1.0371,2.9875,3.0600,3.44,Healthy
1.0278,2.7642,2.9460,2.47,Healthy
2.0578,4.0027,6.4716,10.89,Degraded
5.0913,7.5104,14.5403,23.68,Danger
4.9514,7.4750,10.9972,20.27,Danger
0.9716,3.2973,2.7127,2.63,Healthy
3.0000,6.4763,10.7464,28.21,Danger
0.8469,3.0318,2.9773,4.57,Healthy
1.0326,2.3522,3.7177,1.82,Healthy
3.7390,6.1866,8.5162,42.53,Danger
1.0242,2.8992,2.7183,1.32,Healthy
1.1041,2.8411,3.3919,2.55,Healthy
2.0371,5.3870,4.7789,14.00,Degraded
1.1166,3.4295,2.7832,2.32,Healthy
1.3025,3.1063,3.6639,0.82,Healthy
0.7942,3.2109,2.5301,1.05,Healthy
0.8049,2.7359,2.6118,0.00,Healthy
1.0046,2.9875,2.9621,1.07,Healthy
0.8667,3.2154,3.1400,1.13,Healthy
1.3000,4.9858,4.8455,10.93,Degraded
0.8544,3.4223,2.9505,0.67,Healthy
2.3864,4.4190,3.5000,21.83,Degraded
1.0261,2.8787,2.8665,3.73,Healthy
1.0439,2.4713,3.9005,2.33,Healthy
4.8655,6.5103,15.0141,36.89,Danger
1.0223,2.9969,2.8108,4.77,Healthy
1.1843,3.2443,2.3816,2.08,Healthy
1.0282,3.0420,2.8569,1.83,Healthy
0.8611,3.1423,2.7345,0.73,Healthy
0.9602,3.2794,3.4440,1.14,Healthy
1.0278,3.1985,3.2323,2.17,Healthy
3.6935,6.3127,15.6336,34.94,Danger
1.0459,3.1036,3.0162,1.71,Healthy
2.0240,4.0193,3.5000,13.23,Degraded
0.9577,2.7011,2.5963,5.25,Healthy
0.8768,2.6691,3.4210,2.75,Healthy
0.9890,3.2865,2.5148,1.88,Healthy
4.3664,8.4036,7.0000,19.77,Danger
2.3454,3.7381,5.9961,10.41,Degraded
2.3006,4.0156,5.8855,14.48,Degraded
1.0009,2.6340,2.8407,3.81,Healthy
1.2100,2.4248,2.7545,0.00,Healthy
2.4929,4.6838,5.4905,9.14,Degraded
5.1197,6.1310,12.0493,25.46,Danger
1.0424,3.2388,3.7241,2.10,Healthy
0.8826,3.4279,2.9850,0.00,Healthy
2.3007,4.2049,5.2426,7.11,Degraded
0.9800,2.7349,2.9737,1.44,Healthy
5.5480,9.1752,10.3498,33.70,Danger
1.2504,2.8186,3.9102,1.07,Healthy
3.9391,8.0083,8.4338,28.18,Danger
4.3009,6.4003,7.0000,32.68,Danger
5.0526,6.3466,12.1691,34.15,Danger
0.9783,3.2262,3.2719,2.62,Healthy
4.8251,7.9310,8.1943,19.03,Danger
2.5721,4.1137,4.7326,15.08,Degraded
1.9906,4.0970,6.5236,15.84,Degraded
5.5869,8.7399,9.0186,25.44,Danger
0.8449,2.7089,2.9590,0.00,Healthy
1.0711,3.4434,3.7338,0.79,Healthy
5.3538,7.2257,7.0000,21.19,Danger
0.8824,2.8581,3.4820,0.40,Healthy
0.8154,2.6721,3.0099,2.29,Healthy
0.8847,3.1954,3.4656,6.88,Healthy
1.2361,3.5977,3.8111,1.15,Healthy
2.8806,4.5783,7.6396,7.86,Degraded
0.9665,2.6170,2.8019,3.67,Healthy
1.8080,4.3468,5.2217,10.56,Degraded
0.7433,3.1155,3.1175,1.91,Healthy
1.0113,2.8139,3.1487,3.01,Healthy
0.9219,3.0034,2.3947,2.41,Healthy
1.7635,5.5031,6.5482,16.68,Degraded
1.0484,2.8933,2.7139,3.39,Healthy
1.0500,2.9238,3.5692,2.28,Healthy
4.4100,6.6772,12.5268,26.52,Danger
2.7771,4.1555,5.8131,9.45,Degraded
1.1019,2.7757,3.0169,3.90,Healthy
0.7451,2.4530,2.9479,3.71,Healthy
3.9283,7.7602,11.3994,38.41,Danger
1.0487,2.7670,3.2835,2.16,Healthy
3.2495,4.5744,5.8579,13.91,Degraded
4.0698,6.3597,7.0000,15.00,Danger
1.2003,2.6910,2.6718,2.44,Healthy
1.1754,3.4088,2.7415,2.27,Healthy
2.0686,5.1112,6.2871,16.26,Degraded
0.9672,3.3619,2.8762,3.61,Healthy
1.1470,2.8607,3.0599,1.47,Healthy
0.8342,2.5005,3.5075,0.00,Healthy
5.9196,6.3682,12.7125,45.59,Danger
2.8772,4.4846,5.1368,8.04,Degraded
1.8524,5.1288,5.2334,11.42,Degraded
0.9215,3.1958,3.0225,2.64,Healthy
0.8435,2.7052,2.8494,3.03,Healthy
0.9633,2.4523,2.7605,2.04,Healthy
1.0767,3.3292,2.5375,1.83,Healthy
1.0999,2.9947,2.8800,3.14,Healthy
2.3585,5.3949,6.0663,12.98,Degraded
0.8112,2.5570,3.0719,1.97,Healthy
1.0313,3.0907,3.1332,1.10,Healthy
2.5397,3.5390,5.5921,15.73,Degraded
2.8228,4.4078,6.4207,15.26,Degraded
2.1260,4.7851,4.6214,9.23,Degraded
2.6351,4.5838,5.6794,11.72,Degraded
3.0000,7.3045,10.8288,29.96,Danger
2.4497,4.6422,5.6441,14.82,Degraded
0.9148,2.9122,3.5746,3.03,Healthy
1.9858,4.5746,3.7379,14.16,Degraded
0.9591,3.0529,2.2715,4.28,Healthy
1.0612,2.8374,2.9752,0.52,Healthy
2.9595,5.3152,6.2781,8.77,Degraded
0.9252,3.3548,3.0226,4.04,Healthy
5.5374,7.5105,13.4082,28.79,Danger
0.9705,2.6982,2.5361,3.65,Healthy
1.1593,2.8855,2.2711,3.33,Healthy
1.1507,3.2066,2.6065,1.22,Healthy
1.0874,2.5947,3.4160,4.39,Healthy
0.9701,3.0511,2.8567,2.17,Healthy
1.6549,5.2307,4.5962,16.89,Degraded
0.9461,3.1276,2.7059,3.14,Healthy
2.0437,4.0785,4.7071,11.52,Degraded
1.0472,3.1339,3.3052,3.36,Healthy
0.7688,2.6030,3.0619,0.00,Healthy
1.1699,3.2049,2.8958,0.00,Healthy
5.1497,8.1541,13.9884,28.42,Danger
1.8304,4.4799,7.3808,15.42,Degraded
1.2334,2.8007,3.0272,0.41,Healthy
0.7891,2.7066,3.0736,2.43,Healthy
4.8030,6.5124,11.0555,16.82,Danger
1.0107,2.7246,2.2878,0.19,Healthy
1.7638,5.0838,6.4011,5.66,Degraded
1.0597,3.1593,3.2035,1.56,Healthy
3.0240,4.8657,4.4105,17.81,Degraded
0.9958,2.8326,3.0337,0.59,Healthy
0.9841,3.0765,3.0089,2.04,Healthy
0.9628,3.5009,3.9241,0.97,Healthy
1.1353,3.2366,2.8842,2.20,Healthy
2.5442,4.0452,5.4900,18.60,Degraded
4.6345,8.3448,13.3935,28.94,Danger
1.0254,3.1018,2.9269,1.12,Healthy
0.9906,3.2551,2.5612,0.00,Healthy
5.1919,8.5858,10.9077,25.62,Danger
1.8120,5.5094,3.5000,8.18,Degraded
1.1642,2.7044,2.9855,0.86,Healthy
2.8265,5.2212,5.3656,12.13,Degraded
4.3168,7.2950,14.1752,33.45,Danger
1.0645,3.0603,3.0148,0.00,Healthy
0.8421,2.6278,2.8125,3.79,Healthy
4.2704,5.7703,10.4929,18.22,Danger
0.8268,3.1947,3.4940,5.78,Healthy
3.5506,8.3358,14.7348,36.09,Danger
5.5419,6.5461,15.2380,40.93,Danger
0.8897,3.1868,3.1586,2.84,Healthy
0.9768,2.7083,2.8479,2.60,Healthy
0.8507,3.6713,3.4455,0.00,Healthy
4.3657,8.2829,14.8794,33.97,Danger
1.2748,2.9607,3.1230,0.72,Healthy
1.0941,2.9909,2.7291,0.58,Healthy
5.1442,6.6545,10.3586,36.45,Danger
0.8405,2.9834,3.2083,0.60,Healthy
1.7141,4.2803,6.0286,10.06,Degraded
2.0775,4.0465,3.7693,11.62,Degraded
0.9632,3.1096,2.3839,0.00,Healthy
1.1110,3.4155,3.5279,5.17,Healthy
1.9241,4.2432,5.9966,13.97,Degraded
6.7481,5.9432,16.2259,34.54,Danger
4.3159,6.3865,9.4564,36.48,Danger
3.0000,6.5605,18.9216,27.52,Danger
0.8815,3.2176,2.9422,3.99,Healthy
0.8787,3.5082,2.8354,0.03,Healthy
1.6445,4.9817,5.2647,8.20,Degraded
1.1127,3.1282,2.8489,2.83,Healthy
1.0129,3.0120,3.1723,0.92,Healthy
0.8027,2.6564,2.9526,2.18,Healthy
4.6973,7.5841,8.0920,30.90,Danger
1.7467,4.0697,3.8747,11.98,Degraded
2.8703,4.7846,5.2642,16.59,Degraded
0.7363,2.8231,2.3306,5.43,Healthy
1.2065,2.8424,2.9643,3.33,Healthy
1.0215,3.4473,3.2883,1.47,Healthy
2.7411,5.0135,5.2077,13.54,Degraded
0.9587,2.7578,3.4778,2.83,Healthy
4.5905,7.9876,9.3717,41.14,Danger
0.9988,3.3124,2.5077,0.00,Healthy
0.7535,2.9294,2.8930,0.75,Healthy
2.1956,4.2391,6.0676,5.47,Degraded
1.1299,3.6300,2.8735,1.53,Healthy
4.1022,7.2434,10.6547,29.55,Danger
0.9783,2.9889,2.8787,2.13,Healthy
0.8294,3.0012,2.5516,0.24,Healthy
3.0000,5.7947,11.1964,23.37,Danger
3.6689,6.6454,12.6656,38.28,Danger
1.3000,4.2416,5.9489,10.84,Degraded
2.6161,4.6714,5.6562,13.96,Degraded
0.8214,3.0027,2.8580,0.85,Healthy
1.4226,2.9430,3.0389,3.41,Healthy
0.8961,2.7894,3.2822,0.56,Healthy
2.4538,3.0197,4.9991,13.92,Degraded
1.0830,2.7709,2.8364,2.21,Healthy
5.7261,7.7805,10.8393,43.51,Danger
4.3241,5.8496,10.8965,23.88,Danger
3.0000,7.3960,8.8738,32.75,Danger
1.0460,2.9948,3.3407,3.34,Healthy
1.0201,3.0585,3.5498,3.38,Healthy
1.0225,2.8700,3.4026,1.18,Healthy
1.1946,2.6974,3.3154,0.00,Healthy
1.3000,4.4292,4.5451,6.43,Degraded
0.9597,2.9306,2.9877,5.18,Healthy
1.0816,3.0165,3.1391,0.95,Healthy
0.9274,2.5340,2.6902,1.54,Healthy
2.3708,4.6550,8.1030,11.17,Degraded
0.8360,2.9506,2.8801,0.54,Healthy
0.9198,2.5485,2.5889,0.20,Healthy
1.3000,4.5865,6.3228,4.00,Degraded
1.0963,3.2986,2.7850,0.00,Healthy
2.6965,4.2448,7.7363,7.38,Degraded
0.8956,2.9103,3.2753,1.17,Healthy
0.9891,2.9594,3.1955,3.85,Healthy
1.0147,2.8177,3.2265,2.89,Healthy
1.1782,3.0522,3.0529,2.39,Healthy
0.8239,3.5030,3.1060,4.38,Healthy
0.8051,2.8312,3.0585,0.44,Healthy
2.2109,4.7298,4.8458,14.21,Degraded
1.3000,4.7822,5.2512,6.82,Degraded
0.7351,2.8928,2.7581,1.15,Healthy
1.8688,4.0946,4.5619,13.83,Degraded
